model,label,metric,value,seed
SynTrav,with distance reasoning,SD,0.20416218261946814,7
SynTrav,with distance reasoning,SI,0.02148413687441344,7
SynTrav,with distance reasoning,DARD,0.3780662791451391,7
SynTrav,with distance reasoning,DailyLoc,0.04094468328183619,7
SynTrav,with distance reasoning,SD,0.21678373152916147,13
SynTrav,with distance reasoning,SI,0.023183820899700683,13
SynTrav,with distance reasoning,DARD,0.3721477516894624,13
SynTrav,with distance reasoning,DailyLoc,0.04667353951600345,13
SynTrav,with distance reasoning,SD,0.2024902751944749,27
SynTrav,with distance reasoning,SI,0.022755939170661644,27
SynTrav,with distance reasoning,DARD,0.3703555636954533,27
SynTrav,with distance reasoning,DailyLoc,0.04158815319574666,27
SynTrav,with distance reasoning,SD,0.19535841223128025,42
SynTrav,with distance reasoning,SI,0.02589752736701598,42
SynTrav,with distance reasoning,DARD,0.3759400272527361,42
SynTrav,with distance reasoning,DailyLoc,0.039378201855208066,42
SynTrav,with mode reasoning,SD,0.0032206828769009706,3
SynTrav,with mode reasoning,SI,0.02795407354280543,3
SynTrav,with mode reasoning,DARD,0.37478129797997384,3
SynTrav,with mode reasoning,DailyLoc,0.04373312336571726,3
SynTrav,with mode reasoning,SD,0.0031903251186843986,7
SynTrav,with mode reasoning,SI,0.028669933008752358,7
SynTrav,with mode reasoning,DARD,0.3766283419458957,7
SynTrav,with mode reasoning,DailyLoc,0.040220429810412,7
SynTrav,with mode reasoning,SD,0.0041943887669698655,13
SynTrav,with mode reasoning,SI,0.023590151726496176,13
SynTrav,with mode reasoning,DARD,0.3648083713089073,13
SynTrav,with mode reasoning,DailyLoc,0.037565020490222714,13
SynTrav,with mode reasoning,SD,0.0020901231058360007,27
SynTrav,with mode reasoning,SI,0.019667517876572643,27
SynTrav,with mode reasoning,DARD,0.3817519987672953,27
SynTrav,with mode reasoning,DailyLoc,0.043621285474499734,27
SynTrav,with mode reasoning,SD,0.0018928668363398116,42
SynTrav,with mode reasoning,SI,0.032366204966432215,42
SynTrav,with mode reasoning,DARD,0.3702323613552777,42
SynTrav,with mode reasoning,DailyLoc,0.04839469321020176,42
SynTrav,with mode + distance reasoning,SD,0.1732557872150622,3
SynTrav,with mode + distance reasoning,SI,0.02352039082599038,3
SynTrav,with mode + distance reasoning,DARD,0.3696963515776885,3
SynTrav,with mode + distance reasoning,DailyLoc,0.05767329333208344,3
SynTrav,with mode + distance reasoning,SD,0.16548384977182665,7
SynTrav,with mode + distance reasoning,SI,0.029386152938937652,7
SynTrav,with mode + distance reasoning,DARD,0.37370369236505063,7
SynTrav,with mode + distance reasoning,DailyLoc,0.0498438867391856,7
SynTrav,with mode + distance reasoning,SD,0.1735953097761468,13
SynTrav,with mode + distance reasoning,SI,0.031362834787397396,13
SynTrav,with mode + distance reasoning,DARD,0.36782829119309596,13
SynTrav,with mode + distance reasoning,DailyLoc,0.035365111686353166,13
SynTrav,with mode + distance reasoning,SD,0.17649512868715223,27
SynTrav,with mode + distance reasoning,SI,0.028753751112358367,27
SynTrav,with mode + distance reasoning,DARD,0.3606401378548885,27
SynTrav,with mode + distance reasoning,DailyLoc,0.038453079867209056,27
SynTrav,with mode + distance reasoning,SD,0.16577303599319804,42
SynTrav,with mode + distance reasoning,SI,0.03414883291786358,42
SynTrav,with mode + distance reasoning,DARD,0.38819310632783316,42
SynTrav,with mode + distance reasoning,DailyLoc,0.03881129978624337,42
